device_id,facility,date,pm1,pm2_5,pm10
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-04,26.6763,31.9919,47.3465
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-03,72.9322,86.9194,119.9362
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-02,47.012,54.8609,76.4725
0CDC7E3DD34C,tehnicka-skola-gornji-milanovac,2022-12-01,8.8556,12.1543,21.5497
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-31,67.2006,77.8077,97.3728
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-30,61.5118,69.4853,87.3397
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-29,58.9017,66.6852,85.2702
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-28,45.0901,52.0577,68.333
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-27,46.513,53.3295,70.1141
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-26,55.6835,63.8821,81.8621
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-25,56.2738,63.8571,81.0755
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-24,145.5831,173.2209,210.3272
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-23,65.9355,76.1504,95.8544
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-22,84.2161,97.2132,120.7121
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-21,67.5535,80.3543,103.2599
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-20,56.209,67.4666,89.1266
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-19,31.7636,38.9891,56.0615
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-18,26.9353,33.6197,48.6817
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-17,22.5775,27.5236,40.7514
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-16,7.4851,10.4165,17.5927
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-15,41.6769,50.775,69.2313
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-14,38.829,45.297,62.4866
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-13,36.075,42.7465,60.9149
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-12,18.3419,22.9652,33.6799
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-11,12.4562,16.5622,25.8252
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-10,6.2247,9.2104,16.179
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-09,18.9609,23.8489,35.1846
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-08,42.1262,50.9783,68.3778
